intersection_id,leg_bearing,photo_filename,photo_dist_m,u_deg,photo_x,photo_y,photo_bearing_to_inter,candidate_rank,is_panorama,selected_direction,photo_filepath,filepath_front,filepath_right,filepath_back,filepath_left,requires_stitch,stitch_left_filepath,stitch_right_filepath,stitch_inter_col_frac,neighbor_jte_id,WVK_ID,intensity_wvk,dim_type,dim_risk,dim_priority,dim_speed,is_centrum,direction_patched,quality_patched
186268009,225.5,407_06875,20.0,-119.6,93085.315,434228.844,240.4,1,False,front,88196bb535fffff/89196bb5347ffff/8a196bb5355ffff/407_06875_front.jpg,88196bb535fffff/89196bb5347ffff/8a196bb5355ffff/407_06875_front.jpg,88196bb535fffff/89196bb5347ffff/8a196bb5355ffff/407_06875_right.jpg,88196bb535fffff/89196bb5347ffff/8a196bb5355ffff/407_06875_back.jpg,88196bb535fffff/89196bb5347ffff/8a196bb5355ffff/407_06875_left.jpg,True,88196bb535fffff/89196bb5347ffff/8a196bb5355ffff/407_06875_left.jpg,88196bb535fffff/89196bb5347ffff/8a196bb5355ffff/407_06875_front.jpg,0.9552,186268017,186268090,1100.0,T,_,geen_voorrang,_,False,True,False
186269012,208.5,407_04505,23.0,-167.9,93482.965,434534.151,192.1,1,False,front,88196bb531fffff/89196bb531bffff/8a196bb531b7fff/407_04505_front.jpg,88196bb531fffff/89196bb531bffff/8a196bb531b7fff/407_04505_front.jpg,88196bb531fffff/89196bb531bffff/8a196bb531b7fff/407_04505_right.jpg,88196bb531fffff/89196bb531bffff/8a196bb531b7fff/407_04505_back.jpg,88196bb531fffff/89196bb531bffff/8a196bb531b7fff/407_04505_left.jpg,True,88196bb531fffff/89196bb531bffff/8a196bb531b7fff/407_04505_left.jpg,88196bb531fffff/89196bb531bffff/8a196bb531b7fff/407_04505_front.jpg,0.8707,187269141,600393411,1000.0,4+,_,geen_voorrang,_,False,True,False
186270003,75.3,242_01095,18.6,75.4,93020.03,435104.834,75.4,1,False,front,88196bb523fffff/89196bb5237ffff/8a196bb5236ffff/242_01095_front.jpg,88196bb523fffff/89196bb5237ffff/8a196bb5236ffff/242_01095_front.jpg,88196bb523fffff/89196bb5237ffff/8a196bb5236ffff/242_01095_right.jpg,88196bb523fffff/89196bb5237ffff/8a196bb5236ffff/242_01095_back.jpg,88196bb523fffff/89196bb5237ffff/8a196bb5236ffff/242_01095_left.jpg,False,,,,185270004,185270032,250.0,4+,_,geen_voorrang,_,False,True,False
186271066,229.8,237_01038,21.8,-137.1,93095.123,435663.634,222.9,1,False,front,88196bb52bfffff/89196bb52a3ffff/8a196bb52a1ffff/237_01038_front.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a1ffff/237_01038_front.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a1ffff/237_01038_right.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a1ffff/237_01038_back.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a1ffff/237_01038_left.jpg,True,88196bb52bfffff/89196bb52a3ffff/8a196bb52a1ffff/237_01038_left.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a1ffff/237_01038_front.jpg,0.9541,186271004,600361231,5600.0,T,_,voorrang,_,False,True,False
186271082,127.5,579_00320,19.8,128.8,93271.862,435839.356,128.8,1,False,front,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/579_00320_front.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/579_00320_front.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/579_00320_right.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/579_00320_back.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/579_00320_left.jpg,True,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/579_00320_front.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/579_00320_right.jpg,0.5321,600176905,600728316,11850.0,4+,_,VRI,_,False,False,False
186271102,232.6,247_01317,18.9,-120.8,93324.208,435851.66,239.2,1,False,front,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/247_01317_front.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/247_01317_front.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/247_01317_right.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/247_01317_back.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/247_01317_left.jpg,True,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/247_01317_front.jpg,88196bb52bfffff/89196bb52a3ffff/8a196bb52a27fff/247_01317_right.jpg,0.5504,600176903,600891967,9800.0,4+,_,VRI,_,False,False,True
186273030,301.3,191_00058,21.6,-55.4,93094.427,436649.332,304.6,1,False,front,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/191_00058_front.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/191_00058_front.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/191_00058_right.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/191_00058_back.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/191_00058_left.jpg,True,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/191_00058_left.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/191_00058_front.jpg,0.9556,600588233,601506801,,4+,_,geen_voorrang,_,True,False,False
186273081,178.5,18_00279,22.0,-143.0,93124.36,436650.722,217.0,1,False,front,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/18_00279_front.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/18_00279_front.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/18_00279_right.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/18_00279_back.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/18_00279_left.jpg,True,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/18_00279_left.jpg,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/18_00279_front.jpg,0.9659,600423413,601109213,12150.0,4+,_,VRI,_,True,False,False
186273087,43.2,26_00981,32.8,42.8,93269.544,436796.202,42.8,1,False,front,88196bb529fffff/89196bb562fffff/8a196bb5292ffff/26_00981_front.jpg,88196bb529fffff/89196bb562fffff/8a196bb5292ffff/26_00981_front.jpg,88196bb529fffff/89196bb562fffff/8a196bb5292ffff/26_00981_right.jpg,88196bb529fffff/89196bb562fffff/8a196bb5292ffff/26_00981_back.jpg,88196bb529fffff/89196bb562fffff/8a196bb5292ffff/26_00981_left.jpg,False,,,,186273081,186273069,12200.0,4+,_,VRI,_,True,False,False
186273103,19.4,130_03323,23.5,25.4,93374.925,436878.316,25.4,1,False,front,88196bb563fffff/89196bb562fffff/8a196bb562c7fff/130_03323_front.jpg,88196bb563fffff/89196bb562fffff/8a196bb562c7fff/130_03323_front.jpg,88196bb563fffff/89196bb562fffff/8a196bb562c7fff/130_03323_right.jpg,88196bb563fffff/89196bb562fffff/8a196bb562c7fff/130_03323_back.jpg,88196bb563fffff/89196bb562fffff/8a196bb562c7fff/130_03323_left.jpg,True,88196bb563fffff/89196bb562fffff/8a196bb562c7fff/130_03323_left.jpg,88196bb563fffff/89196bb562fffff/8a196bb562c7fff/130_03323_front.jpg,0.9136,600409029,601076872,7700.0,4+,_,VRI,_,True,False,False
