intersection_id,leg_bearing,photo_filename,photo_dist_m,u_deg,photo_x,photo_y,photo_bearing_to_inter,candidate_rank,is_panorama,selected_direction,photo_filepath,filepath_front,filepath_right,filepath_back,filepath_left,requires_stitch,stitch_left_filepath,stitch_right_filepath,stitch_inter_col_frac,neighbor_jte_id,WVK_ID,intensity_wvk,ideal_dist_m,all_back,used_fallback
192267018,63.3,435_00991,20.9,67.3,96208.131,433921.399,67.3,1,False,back,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00991_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00991_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00991_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00991_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00991_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00991_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00991_left.jpg,0.5249,192267034,192267039,200.0,20.0,False,False
192267030,195.9,435_02087,21.3,-166.1,96282.413,433819.324,193.9,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb5120ffff/435_02087_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5120ffff/435_02087_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5120ffff/435_02087_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5120ffff/435_02087_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5120ffff/435_02087_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb5120ffff/435_02087_left.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5120ffff/435_02087_front.jpg,0.9766,600178013,600732861,2450.0,20.0,False,False
192267033,153.0,435_00548,18.2,148.2,96149.502,433877.911,148.2,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb5121ffff/435_00548_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5121ffff/435_00548_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5121ffff/435_00548_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5121ffff/435_00548_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5121ffff/435_00548_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb5121ffff/435_00548_left.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5121ffff/435_00548_front.jpg,0.9764,192267034,192267012,350.0,20.0,False,False
192267034,243.3,435_01001,20.5,-120.1,96163.609,433898.666,239.9,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01001_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01001_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01001_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01001_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01001_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01001_left.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01001_front.jpg,0.9819,192267018,192267039,200.0,20.0,False,False
192267035,153.0,435_00536,20.0,150.5,96122.864,433931.61,150.5,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00536_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00536_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00536_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00536_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00536_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00536_left.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00536_front.jpg,0.9711,192267036,192267017,500.0,20.0,False,False
192267036,153.0,435_00530,21.0,152.6,96109.911,433958.686,152.6,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00530_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00530_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00530_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00530_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00530_left.jpg,False,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00538_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_00538_left.jpg,0.512,192267037,192267016,550.0,20.0,False,False
192267037,228.5,435_01141,20.7,-119.6,96124.345,433976.234,240.4,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01141_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01141_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01141_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01141_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01141_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01141_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51217fff/435_01141_right.jpg,0.5107,192268017,192267047,200.0,20.0,False,False
192267038,153.0,435_00519,18.0,153.0,96085.085,434007.784,153.0,1,False,front,88196bb513fffff/89196bb513bffff/8a196bb5138ffff/435_00519_front.jpg,88196bb513fffff/89196bb513bffff/8a196bb5138ffff/435_00519_front.jpg,88196bb513fffff/89196bb513bffff/8a196bb5138ffff/435_00519_right.jpg,88196bb513fffff/89196bb513bffff/8a196bb5138ffff/435_00519_back.jpg,88196bb513fffff/89196bb513bffff/8a196bb5138ffff/435_00519_left.jpg,False,88196bb513fffff/89196bb513bffff/8a196bb5138ffff/435_00881_right.jpg,88196bb513fffff/89196bb513bffff/8a196bb5138ffff/435_00881_back.jpg,0.9772,192268044,192268045,650.0,20.0,False,False
192267052,176.9,436_00525,20.6,172.3,96288.011,433568.846,172.3,1,False,front,88196bb513fffff/89196bb512fffff/8a196bb512effff/436_00525_front.jpg,88196bb513fffff/89196bb512fffff/8a196bb512effff/436_00525_front.jpg,88196bb513fffff/89196bb512fffff/8a196bb512effff/436_00525_right.jpg,88196bb513fffff/89196bb512fffff/8a196bb512effff/436_00525_back.jpg,88196bb513fffff/89196bb512fffff/8a196bb512effff/436_00525_left.jpg,True,88196bb513fffff/89196bb512fffff/8a196bb512effff/436_00525_left.jpg,88196bb513fffff/89196bb512fffff/8a196bb512effff/436_00525_front.jpg,0.9786,192267030,192267019,2750.0,20.0,False,False
192267054,242.3,435_00951,22.1,-121.6,96228.565,433997.423,238.4,1,False,back,88196bb513fffff/89196bb5123ffff/8a196bb51237fff/435_00951_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51237fff/435_00951_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51237fff/435_00951_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51237fff/435_00951_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51237fff/435_00951_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb51237fff/435_00951_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51237fff/435_00951_back.jpg,0.8878,192267056,192267007,300.0,20.0,True,False
192267056,345.7,435_00605,20.1,-15.0,96230.018,433974.307,345.0,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00605_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00605_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00605_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00605_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00605_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00605_left.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00605_front.jpg,0.9897,192267057,192267029,300.0,20.0,False,False
192267057,230.1,435_00975,19.7,-106.1,96250.659,433972.098,253.9,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00975_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00975_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00975_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00975_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00975_left.jpg,False,,,,192268075,192267048,100.0,20.0,False,False
192267080,86.2,434_02315,19.5,86.1,96364.955,433502.238,86.1,1,False,front,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c5a7fff/434_02315_front.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c5a7fff/434_02315_front.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c5a7fff/434_02315_right.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c5a7fff/434_02315_back.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c5a7fff/434_02315_left.jpg,False,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c5a7fff/416_04494_left.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c5a7fff/416_04494_front.jpg,0.5111,600178008,600732858,4750.0,20.0,False,False
192268007,328.3,435_02021,19.3,8.5,96421.292,434021.46,8.5,1,False,front,88196bb513fffff/89196bb5137ffff/8a196bb51357fff/435_02021_front.jpg,88196bb513fffff/89196bb5137ffff/8a196bb51357fff/435_02021_front.jpg,88196bb513fffff/89196bb5137ffff/8a196bb51357fff/435_02021_right.jpg,88196bb513fffff/89196bb5137ffff/8a196bb51357fff/435_02021_back.jpg,88196bb513fffff/89196bb5137ffff/8a196bb51357fff/435_02021_left.jpg,True,88196bb513fffff/89196bb5137ffff/8a196bb51357fff/435_02021_front.jpg,88196bb513fffff/89196bb5137ffff/8a196bb51357fff/435_02021_right.jpg,0.5066,192268005,192268072,150.0,20.0,False,False
192268012,284.7,435_01888,21.5,-72.5,96379.011,434051.302,287.5,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51227fff/435_01888_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51227fff/435_01888_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51227fff/435_01888_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51227fff/435_01888_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51227fff/435_01888_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb51227fff/435_01888_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51227fff/435_01888_right.jpg,0.5173,192268007,192268052,150.0,20.0,False,False
