task_id,set_id,alt1_att1_streetview,alt1_att2_intensiteit,alt2_att1_streetview,alt2_att2_intensiteit
180,5,/assets/images/183272020.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
181,6,/assets/images/184275160.jpeg,Middelmatig,/assets/images/187274156.jpeg,Hoog
182,6,/assets/images/186275043.jpeg,Hoog,/assets/images/600097669.jpeg,Hoog
183,6,/assets/images/181277036.jpeg,Middelmatig,/assets/images/600097689.jpeg,Hoog
184,6,/assets/images/183277002.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
185,6,/assets/images/178273039.jpeg,Laag,/assets/images/183263020.jpeg,Middelmatig
186,6,/assets/images/178273039.jpeg,Laag,/assets/images/600483010.jpeg,Laag
187,6,/assets/images/183277002.jpeg,Middelmatig,/assets/images/184273072.jpeg,Middelmatig
188,6,/assets/images/184273072.jpeg,Middelmatig,/assets/images/600424823.jpeg,Hoog
189,6,/assets/images/183272020.jpeg,Hoog,/assets/images/190273120.jpeg,Hoog
190,6,/assets/images/178273039.jpeg,Laag,/assets/images/190264011.jpeg,Laag
191,6,/assets/images/181265038.jpeg,Hoog,/assets/images/186274160.jpeg,Hoog
192,6,/assets/images/176275195.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
193,6,/assets/images/183272020.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
194,6,/assets/images/179265069.jpeg,Hoog,/assets/images/182274179.jpeg,Middelmatig
195,6,/assets/images/182272213.jpeg,Hoog,/assets/images/600097669.jpeg,Hoog
196,6,/assets/images/176275195.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
197,6,/assets/images/185273145.jpeg,Hoog,/assets/images/189267114.jpeg,Middelmatig
198,6,/assets/images/182265103.jpeg,Laag,/assets/images/183263020.jpeg,Middelmatig
199,6,/assets/images/178273039.jpeg,Laag,/assets/images/183272020.jpeg,Hoog
200,6,/assets/images/184275095.jpeg,Laag,/assets/images/191269022.jpeg,Hoog
201,6,/assets/images/184273072.jpeg,Middelmatig,/assets/images/600488624.jpeg,Hoog
202,6,/assets/images/182270019.jpeg,Middelmatig,/assets/images/187277089.jpeg,Middelmatig
203,6,/assets/images/183263020.jpeg,Middelmatig,/assets/images/194268070.jpeg,Middelmatig
