intersection_id,leg_bearing
183266051,277.2
183266076,9.4
183266077,187.2
183266078,101.4
183266079,24.3
183266082,295.4
183266086,193.5
183267001,289.4
183267002,306.3
183267005,6.7
183267008,127.5
183267011,187.5
183267012,214.0
183267013,109.4
183267017,36.1
183267018,129.2
183267019,276.4
183267021,6.1
183267024,291.3
183267026,120.2
183267027,202.4
183267028,118.2
183267029,290.3
183267030,31.1
183267036,216.9
183267040,121.9
183267042,29.6
183267043,292.0
183267045,289.7
183267046,8.6
183267048,220.6
183267057,357.3
183267058,193.3
183267061,199.9
183267062,217.4
183267063,110.3
183268010,43.6
183268019,312.2
183268020,126.0
183268029,201.4
183268030,286.7
183268031,202.1
183268031,202.1
183268031,202.1
183268031,202.1
183268031,202.1
183268034,287.4
183268035,305.6
183268038,283.1
183268053,21.8
183268065,66.8
183268069,51.8
183268070,61.7
183268083,42.7
183268086,100.6
183268089,123.8
183268090,42.7
183268094,225.0
183268100,225.4
183268102,313.1
183268103,212.2
183268104,97.5
183268108,313.1
183268110,41.2
183268112,210.6
183268167,129.1
183268167,129.1
183268167,129.1
183268167,129.1
183268167,129.1
183269011,43.7
183269013,59.7
183269031,328.6
183269043,306.9
183269047,150.5
183269057,65.2
183269085,89.0
183269117,62.3
183271168,156.5
183271210,345.7
183271230,56.7
183272018,171.7
183272021,158.4
183272070,199.6
183272084,242.7
183273002,204.0
183273017,67.3
183273031,114.3
183273076,214.4
183273086,231.1
183273087,51.1
183273092,106.1
183273097,250.3
183273122,199.7
183273133,135.1
183273139,333.7
183273141,232.8
183274147,255.9
183274149,75.8
183275026,249.1
183275057,90.2
183275132,74.8
183276004,324.2
183276038,66.1
183276039,91.8
183276043,152.4
183276047,119.6
183276048,42.1
183276050,38.4
183276052,14.4
183276058,14.6
183276083,61.0
183276095,224.9
183277001,42.4
183277003,37.9
183277005,260.9
183277006,262.7
183277008,170.8
183277009,351.3
183277011,172.0
183277012,253.5
183277013,172.3
183277014,82.4
183277015,158.6
183277016,149.4
183277017,326.0
183277018,329.6
183277019,44.8
183277020,225.3
183277021,75.8
183277022,351.6
183277023,226.7
183277029,250.3
183277030,37.2
183277035,153.0
183277036,240.9
183277037,215.4
183277042,332.5
183277061,99.1
183277070,205.1
183277111,130.7
183277120,211.3
183277130,352.4
183277132,78.1
183277133,222.9
183277134,38.3
183278004,351.7
183278005,146.9
183278008,262.1
183278009,149.4
183278010,75.1
183278012,172.5
183278013,177.9
183278014,352.6
183278033,172.1
183278042,242.0
183278047,153.1
183278064,242.3
183278088,58.8
183278195,242.7
183278200,244.1
183278203,253.2
183278207,59.4
183278211,332.0
183279035,258.0
184262051,195.6
184262052,93.5
184263015,100.9
184263016,100.8
184263017,7.8
184263018,10.9
184263022,101.0
184263023,11.1
184263024,190.9
184263025,11.2
184263026,98.9
184263031,279.0
184263033,8.2
184263034,278.7
184263035,278.4
184263036,98.5
184263076,8.3
184264004,267.2
184264007,190.8
184264008,282.0
184264009,190.9
184264010,190.9
184264012,282.8
184264014,10.8
184264020,191.0
184264025,100.9
184264026,101.0
184264027,100.9
184264050,276.6
184264054,96.5
184264064,94.4
184264080,192.6
184264083,102.4
184266005,275.0
184266006,187.0
184266007,273.1
184266009,175.7
184266010,95.0
184266011,275.4
184266012,185.0
184266013,93.5
184266014,261.7
184266015,177.9
184266016,80.9
184266025,0.5
184266045,158.4
184267001,266.2
184267002,262.1
184267003,276.5
184267005,276.0
184267008,7.7
184267009,187.4
184267010,188.3
184267013,7.4
184267015,96.5
184267016,267.3
184267020,185.4
184267021,95.2
184267022,94.4
184267024,88.9
184267025,269.4
184267026,180.2
184267027,88.8
184267028,181.9
184267040,70.5
184267041,6.4
184267043,192.0
184267050,274.7
184267057,310.2
184267124,96.1
184267129,261.4
184267135,5.0
184267149,149.2
184267152,345.9
184267156,352.0
184267160,257.9
184267162,352.9
184267163,168.6
184267166,318.8
184268018,302.2
184268020,290.1
184268021,226.7
184268035,245.9
184268036,113.2
184268037,308.0
184268094,107.0
184268115,247.0
184268133,72.3
184268176,131.2
184268180,86.9
184268214,127.8
184268222,9.9
184268258,85.0
184269011,106.8
184269013,28.0
184269014,291.5
184269015,44.8
184269016,286.8
184269018,253.0
184270019,280.1
184270021,289.4
184270022,292.7
184270026,291.5
184270029,284.2
184270032,283.7
184270045,21.4
184271005,337.0
184271011,55.8
184271012,235.8
184271018,252.1
184271022,153.9
184271066,152.8
184271070,244.7
184271071,333.4
184271072,242.0
184271074,157.5
184271079,72.2
184271088,145.6
184271093,342.1
184271095,64.1
184272024,160.3
184272143,63.6
184272152,163.6
184272159,243.3
184272171,155.2
184272182,243.9
184273011,154.9
184273016,328.6
184273032,337.4
184273040,250.3
184273041,245.8
184273063,32.0
184273066,88.1
184273070,238.3
184273092,256.8
184273093,327.9
184273094,236.2
184273128,340.0
184273143,231.8
184275173,140.8
184276001,211.4
184276006,305.9
184276007,306.0
184276008,130.3
184276010,130.2
184276020,310.1
184276021,35.2
184276022,309.9
184276025,122.0
184276026,212.4
184276031,229.0
184276032,144.2
184276047,131.3
184276049,134.1
184276054,154.5
184276065,137.0
184276075,309.6
184276078,223.1
184276079,47.9
184276085,130.8
184276089,38.0
184276092,308.1
184276098,122.0
184276102,317.0
184276108,46.3
184277003,119.2
184277004,35.8
184277005,213.5
184277006,32.6
184277007,123.8
184277008,288.6
184277009,207.1
184277010,199.3
184277011,104.3
184277012,118.8
184277013,113.6
184277014,37.9
184277015,133.4
184277016,308.1
184277017,43.7
184277018,313.2
184277019,307.8
184277020,218.4
184277021,38.5
184277022,218.5
184277023,295.2
184277024,118.8
184277025,299.2
184277026,42.1
184277027,302.9
184277028,47.0
184277029,305.5
184277053,119.2
184278004,220.0
184278014,216.8
184278028,34.4
184278029,165.7
184278043,289.4
184278045,37.5
184278046,287.5
184278047,131.6
184278059,261.5
184278060,64.1
184278064,171.9
184278064,171.9
184278064,171.9
184278064,171.9
184278064,171.9
184278070,339.0
184278071,174.8
184278084,158.9
184278090,45.6
184278091,226.1
184278096,150.2
184278099,49.5
184278100,203.5
184278110,139.8
184278113,154.4
184278120,66.6
184278121,32.0
184278122,40.4
184278127,132.6
184278130,224.4
184278133,171.0
184278136,81.0
184278137,352.2
184279033,259.1
184279034,260.0
185262007,83.5
185262008,68.7
185262017,333.2
185263010,276.2
185263011,2.2
185263012,4.2
185263013,2.4
185263014,184.2
185263016,98.2
185263017,256.6
185263019,274.3
185263022,272.6
185263025,183.5
185263027,78.4
185263028,93.3
185263030,90.2
185263031,91.9
185263032,99.6
185263034,270.2
185263035,258.4
185264005,269.9
185264007,267.5
